order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,66,2,57.22,0.0
2,1,65,2,70.93,0.15
3,1,56,1,529.61,0.0
4,2,66,1,57.22,0.1
5,2,7,3,1377.26,0.0
6,3,36,1,737.92,0.1
7,3,70,2,154.12,0.05
8,3,61,3,15.25,0.0
9,3,30,3,1285.27,0.0
10,3,17,2,791.03,0.05
11,4,26,2,1693.23,0.05
12,4,68,1,243.23,0.1
13,5,55,1,902.48,0.05
14,6,56,3,529.61,0.0
15,6,30,2,1285.27,0.0
16,7,1,1,1223.71,0.0
17,7,34,2,547.42,0.0
18,7,64,1,257.94,0.15
19,8,13,3,722.89,0.2
20,8,29,1,828.29,0.0
21,9,37,2,858.94,0.1
22,9,3,1,1424.23,0.1
23,10,35,2,1435.25,0.0
24,10,26,1,1693.23,0.1
25,10,44,1,187.21,0.1
26,11,10,3,767.94,0.0
27,11,47,3,265.05,0.0
28,12,16,3,2083.72,0.0
29,13,23,3,927.42,0.1
30,13,29,2,828.29,0.0
31,13,22,2,1168.73,0.0
32,13,59,2,698.91,0.0
33,13,47,3,265.05,0.1
34,14,49,2,436.75,0.15
35,14,45,3,212.68,0.0
36,15,35,2,1435.25,0.15
37,16,11,2,427.22,0.0
38,16,39,1,215.23,0.2
39,17,20,3,975.19,0.1
40,17,29,1,828.29,0.05
41,18,34,3,547.42,0.1
42,18,36,3,737.92,0.0
43,18,53,1,930.36,0.05
44,19,30,2,1285.27,0.0
45,20,14,1,1221.37,0.0
46,20,65,2,70.93,0.05
47,20,22,1,1168.73,0.05
48,21,45,1,212.68,0.1
49,22,60,1,32.21,0.0
50,22,13,2,722.89,0.1
51,22,70,1,154.12,0.2
52,22,59,2,698.91,0.0
53,22,46,1,246.91,0.15
54,23,69,2,159.6,0.1
55,23,48,1,778.9,0.0
56,24,29,3,828.29,0.0
57,24,12,1,1306.73,0.0
58,25,32,3,437.67,0.0
59,25,47,3,265.05,0.0
60,25,6,2,1049.63,0.0
61,26,5,1,386.74,0.0
62,27,54,3,563.51,0.0
63,27,30,2,1285.27,0.2
64,27,68,2,243.23,0.2
65,28,59,2,698.91,0.05
66,29,32,3,437.67,0.0
67,29,53,1,930.36,0.0
68,29,62,2,57.48,0.05
69,30,37,1,858.94,0.2
70,31,69,2,159.6,0.1
71,32,31,1,861.0,0.0
72,32,70,1,154.12,0.0
73,33,65,2,70.93,0.0
74,33,7,1,1377.26,0.0
75,33,59,1,698.91,0.05
76,34,63,3,238.99,0.1
77,34,49,3,436.75,0.0
