payment_id,order_id,payment_method,payment_status,amount,payment_date
1,1,paypal,completed,764.63,2025-12-22
2,2,paypal,completed,2925.18,2025-03-02
3,2,bank_transfer,completed,1258.1,2025-03-03
4,3,credit_card,refunded,6361.47,2025-12-30
5,4,debit_card,completed,1317.61,2024-05-20
6,4,debit_card,completed,2118.43,2024-05-20
7,5,google_pay,completed,374.78,2025-07-12
8,5,bank_transfer,completed,482.58,2025-07-12
9,6,apple_pay,refunded,4159.37,2024-06-25
10,7,paypal,completed,1061.96,2024-09-15
11,7,debit_card,completed,1475.84,2024-09-17
12,8,bank_transfer,failed,933.82,2025-05-05
13,8,apple_pay,failed,1629.41,2025-05-07
14,9,apple_pay,pending,2827.9,2023-04-09
15,10,apple_pay,completed,4562.9,2025-01-28
16,11,apple_pay,completed,3098.97,2024-09-11
17,12,google_pay,failed,6251.16,2025-12-18
18,13,apple_pay,completed,5521.13,2024-08-29
19,13,google_pay,completed,3090.4,2024-08-31
20,14,bank_transfer,completed,854.13,2024-02-11
21,14,apple_pay,completed,526.39,2024-02-12
22,15,google_pay,completed,2439.92,2025-02-04
23,16,credit_card,completed,1026.62,2024-04-30
24,17,debit_card,failed,3419.89,2025-02-06
25,18,debit_card,completed,4575.64,2025-12-20
26,19,apple_pay,failed,1099.22,2024-06-27
27,19,google_pay,failed,1471.32,2024-06-29
28,20,google_pay,pending,2466.43,2024-12-19
29,21,credit_card,completed,191.41,2024-08-13
30,22,bank_transfer,completed,3064.4,2025-07-24
31,23,bank_transfer,completed,1066.18,2023-04-24
32,24,credit_card,completed,3791.6,2024-09-06
33,25,debit_card,completed,4207.42,2024-02-23
34,26,bank_transfer,completed,386.74,2024-06-29
35,27,google_pay,completed,4136.13,2025-08-30
36,28,paypal,completed,1327.93,2025-09-29
37,29,credit_card,completed,2352.58,2025-07-17
38,30,apple_pay,completed,687.15,2024-01-15
39,31,credit_card,completed,122.19,2025-07-29
40,31,paypal,completed,165.09,2025-07-29
41,32,google_pay,completed,1015.12,2025-09-09
42,33,bank_transfer,failed,2183.08,2025-06-28
43,34,credit_card,completed,2026.45,2022-04-11
44,35,credit_card,failed,405.86,2025-04-15
45,36,apple_pay,completed,789.87,2025-09-06
46,37,debit_card,completed,4960.2,2025-11-20
47,38,debit_card,completed,1210.57,2025-03-31
48,39,apple_pay,pending,277.42,2023-04-02
49,40,debit_card,completed,6160.8,2025-04-03
50,41,apple_pay,completed,907.3,2025-04-25
51,41,debit_card,completed,1620.51,2025-04-25
52,42,debit_card,completed,4243.8,2023-07-20
53,43,apple_pay,completed,1580.09,2023-10-15
54,43,apple_pay,completed,1018.82,2023-10-16
55,44,bank_transfer,completed,1745.81,2024-04-29
56,45,debit_card,completed,3048.78,2025-07-26
57,46,bank_transfer,completed,558.89,2025-08-27
58,47,credit_card,completed,3571.12,2024-05-06
59,47,credit_card,completed,5168.42,2024-05-06
60,48,apple_pay,completed,638.54,2024-12-27
61,48,bank_transfer,completed,600.86,2024-12-29
62,49,bank_transfer,completed,6381.96,2025-11-09
63,50,apple_pay,completed,1220.26,2024-09-15
64,51,google_pay,completed,7299.43,2025-10-02
65,52,apple_pay,completed,2051.03,2023-12-05
66,53,debit_card,completed,2782.26,2024-02-14
67,54,credit_card,completed,2162.77,2025-06-22
68,54,google_pay,completed,3558.25,2025-06-24
69,55,credit_card,completed,5453.87,2024-12-01
70,56,credit_card,completed,1774.52,2025-01-29
71,57,google_pay,completed,5206.23,2025-05-24
72,58,google_pay,completed,1849.07,2024-06-16
73,58,google_pay,completed,2664.53,2024-06-16
74,59,debit_card,completed,6345.03,2025-08-01
75,60,paypal,completed,3014.34,2024-08-19
76,61,google_pay,completed,6159.91,2025-12-08
77,62,apple_pay,pending,1868.03,2025-03-08
78,63,bank_transfer,completed,339.86,2025-10-16
79,64,bank_transfer,completed,1324.47,2025-12-11
80,64,debit_card,completed,779.57,2025-12-11
81,65,bank_transfer,completed,1510.53,2025-12-19
82,65,google_pay,completed,856.15,2025-12-19
83,66,credit_card,completed,502.48,2025-09-01
84,66,paypal,completed,658.92,2025-09-01
85,67,credit_card,completed,371.37,2024-12-15
86,67,paypal,completed,533.33,2024-12-15
87,68,credit_card,completed,778.9,2025-12-06
88,69,google_pay,completed,1184.8,2025-12-08
89,70,bank_transfer,completed,4097.14,2025-08-03
90,71,credit_card,completed,2313.49,2024-04-12
91,72,credit_card,completed,4626.16,2025-12-12
92,73,paypal,completed,1103.49,2024-10-29
93,73,apple_pay,completed,1708.57,2024-10-30
94,74,debit_card,completed,769.0,2025-10-30
95,75,bank_transfer,completed,453.71,2024-02-23
96,76,google_pay,pending,2346.03,2022-06-14
97,77,credit_card,completed,12538.38,2025-04-15
98,78,apple_pay,completed,4722.83,2025-11-06
99,79,bank_transfer,completed,1631.3,2023-10-26
100,80,paypal,completed,5932.14,2025-10-19
101,81,paypal,completed,4403.21,2024-11-14
102,82,credit_card,completed,2743.3,2025-10-31
103,83,debit_card,completed,1844.12,2024-03-22
104,84,google_pay,pending,3629.93,2025-12-02
105,85,bank_transfer,completed,2027.42,2025-03-27
106,85,credit_card,completed,2086.45,2025-03-29
107,86,credit_card,completed,3140.58,2025-01-01
108,87,google_pay,completed,2287.51,2025-11-22
109,87,paypal,completed,2058.18,2025-11-22
110,88,paypal,completed,4441.31,2024-02-22
111,89,paypal,failed,2847.24,2025-04-11
112,90,paypal,pending,4543.3,2024-05-15
113,91,bank_transfer,completed,6600.24,2025-03-14
114,92,paypal,completed,2288.38,2025-04-13
